latitude,longitude,time
23.5061579,120.8238606,23/11/2025 23:04
23.5061641,120.8238542,23/11/2025 23:20
23.5061637,120.8238499,23/11/2025 23:37
23.5062317,120.823849,23/11/2025 23:55
23.4783186,120.8518683,24/11/2025 00:13
23.5073835,120.8230675,24/11/2025 00:15
23.5118732,120.8229516,24/11/2025 00:30
23.511604,120.8229851,24/11/2025 00:45
23.5116042,120.8229854,24/11/2025 00:45
23.5118278,120.8230914,24/11/2025 01:01
23.5165065,120.8195023,24/11/2025 01:15
23.5169408,120.8200255,24/11/2025 01:17
23.5114369,120.8156785,24/11/2025 01:31
23.5105969,120.8143421,24/11/2025 01:33
23.509017,120.8090304,24/11/2025 01:40
23.5071507,120.8060733,24/11/2025 01:49
23.5049978,120.803373,24/11/2025 02:04
23.5052906,120.8031353,24/11/2025 02:05
23.5101962,120.8071283,24/11/2025 02:19
23.5113117,120.8075419,24/11/2025 02:21
23.5130148,120.8110719,24/11/2025 02:30
23.5153853,120.8098435,24/11/2025 02:37
23.516727,120.8082071,24/11/2025 02:52
23.5166967,120.8082315,24/11/2025 02:53
23.5190537,120.8072536,24/11/2025 03:08
23.5176267,120.8094174,24/11/2025 03:24
23.5139584,120.8100446,24/11/2025 03:39
23.5109519,120.8047285,24/11/2025 03:48
23.5107932,120.8047116,24/11/2025 03:55
23.5121077,120.8037711,24/11/2025 04:10
23.5121137,120.8037834,24/11/2025 04:46
23.51196616,120.803294,24/11/2025 04:55
23.5085756,120.8014818,24/11/2025 05:10
23.5085705,120.8014769,24/11/2025 05:11
23.5085359,120.8015251,24/11/2025 05:27
23.508616,120.8015506,24/11/2025 05:53
23.5085601,120.801067,24/11/2025 06:09
23.50516613,120.7929697,24/11/2025 06:36
23.44848591,120.6772841,24/11/2025 07:28
23.4436745,120.6727181,24/11/2025 07:31
23.4375838,120.6643626,24/11/2025 07:34
23.41965934,120.6539004,24/11/2025 07:40
23.4193541,120.65301,24/11/2025 07:40
23.4318661,120.6416452,24/11/2025 07:55
23.4315236,120.6409501,24/11/2025 07:55
23.4341746,120.632466,24/11/2025 08:00
23.43575011,120.6220019,24/11/2025 08:03
23.4466112,120.5853077,24/11/2025 08:17
23.45273969,120.5618993,24/11/2025 08:28
23.4415166,120.5313926,24/11/2025 08:32
23.44731268,120.4830614,24/11/2025 08:41
23.41982194,120.4092624,24/11/2025 08:47
23.4198219,120.4092624,24/11/2025 08:47
23.42871498,120.3274854,24/11/2025 08:53
23.46083,120.2995466,24/11/2025 09:03
23.4586605,120.3231476,24/11/2025 09:18
23.4586733,120.3231406,24/11/2025 09:18
23.4590327,120.3231561,24/11/2025 09:41
23.4601089,120.3237959,24/11/2025 09:57
23.4595317,120.3239029,24/11/2025 10:08
23.4876591,120.3251044,24/11/2025 10:10
23.49474693,120.3254327,24/11/2025 10:10
23.5718666,120.3320476,24/11/2025 10:12
23.5812177,120.33261,24/11/2025 10:13
23.6269984,120.3417083,24/11/2025 10:14
23.8814401,120.5868603,24/11/2025 10:23
23.8810328,120.5861931,24/11/2025 10:23
23.8814401,120.5868603,24/11/2025 10:23
24.0926605,120.6140691,24/11/2025 10:28
24.2590679,120.652266,24/11/2025 10:39
24.4601494,120.7033958,24/11/2025 10:43
